timestamp,average_skill,skill_tier,count
"2017-04-01 00:00:00",4420.8189655172413793,T7,116
"2017-04-01 00:00:00",2534.8006775832862789,T5,1771
"2017-04-01 00:00:00",1845.3530204962243797,T4,3708
"2017-04-01 00:00:00",1179.7543084181773032,T3,20135
"2017-04-01 00:00:00",3381.1131498470948012,T6,654
"2017-04-01 00:00:00",125.6519771651350599,T1,57456
"2017-04-01 00:00:00",854.9195229755650071,T2,47964
"2017-05-01 00:00:00",4413.1842105263157895,T7,152
"2017-05-01 00:00:00",2539.9006294964028777,T5,2224
"2017-05-01 00:00:00",1850.9378012393848979,T4,4357
"2017-05-01 00:00:00",1185.3374392220421394,T3,21595
"2017-05-01 00:00:00",3380.0641466208476518,T6,873
"2017-05-01 00:00:00",129.3202942216087930,T1,59411
"2017-05-01 00:00:00",852.4826973551383000,T2,49530
"2017-06-01 00:00:00",4414.8385416666666667,T7,192
"2017-06-01 00:00:00",2543.1538461538461538,T5,2678
"2017-06-01 00:00:00",1854.3160942492012780,T4,5008
"2017-06-01 00:00:00",1189.8413991375179684,T3,22957
"2017-06-01 00:00:00",3380.4197983501374885,T6,1091
"2017-06-01 00:00:00",132.6501297810862432,T1,61257
"2017-06-01 00:00:00",850.1170171110850072,T2,51078
"2017-07-01 00:00:00",4419.9098712446351931,T7,233
"2017-07-01 00:00:00",2544.7022973835354180,T5,3134
"2017-07-01 00:00:00",1857.0035329447094153,T4,5661
"2017-07-01 00:00:00",1194.1744109679008292,T3,24362
"2017-07-01 00:00:00",3383.4969230769230769,T6,1300
"2017-07-01 00:00:00",135.9313275512788048,T1,63184
"2017-07-01 00:00:00",848.0876562915669061,T2,52626
"2017-08-01 00:00:00",4424.5474452554744526,T7,274
"2017-08-01 00:00:00",2544.3615192680898253,T5,3607
"2017-08-01 00:00:00",1859.0259554140127389,T4,6280
"2017-08-01 00:00:00",1197.5431535431535432,T3,25641
"2017-08-01 00:00:00",3388.0104712041884817,T6,1528
"2017-08-01 00:00:00",138.6536069747704652,T1,64805
"2017-08-01 00:00:00",846.3774455313472655,T2,53976
"2017-09-01 00:00:00",4426.2563291139240506,T7,316
"2017-09-01 00:00:00",2543.3217712177121771,T5,4065
"2017-09-01 00:00:00",1861.0142649199417758,T4,6870
"2017-09-01 00:00:00",1200.2811253959381405,T3,26835
"2017-09-01 00:00:00",3389.7145308924485126,T6,1748
"2017-09-01 00:00:00",141.0586026451116708,T1,66311
"2017-09-01 00:00:00",844.9611822910059622,T2,55181
"2017-10-01 00:00:00",4414.0263157894736842,T7,380
"2017-10-01 00:00:00",2541.4539928736114022,T5,4771
"2017-10-01 00:00:00",1858.5403341288782816,T4,8380
"2017-10-01 00:00:00",1205.6511713254633311,T3,32698
"2017-10-01 00:00:00",3386.1289840637450199,T6,2008
"2017-10-01 00:00:00",153.9657998423955871,T1,82485
"2017-10-01 00:00:00",836.7521245808259452,T2,65307
"2017-11-01 00:00:00",4412.2844036697247706,T7,436
"2017-11-01 00:00:00",2541.2403594159490827,T5,5342
"2017-11-01 00:00:00",1859.8939937004453133,T4,9207
"2017-11-01 00:00:00",1208.5721163606833145,T3,34479
"2017-11-01 00:00:00",3388.8712389380530973,T6,2260
"2017-11-01 00:00:00",157.0872931282868153,T1,85379
"2017-11-01 00:00:00",834.9899855875666761,T2,67303
"2017-12-01 00:00:00",4404.5797979797979798,T7,495
"2017-12-01 00:00:00",2541.7868824531516184,T5,5870
"2017-12-01 00:00:00",1860.7519519519519520,T4,9990
"2017-12-01 00:00:00",1211.1560599358619927,T3,36172
"2017-12-01 00:00:00",3389.3801751592356688,T6,2512
"2017-12-01 00:00:00",159.6615437080823008,T1,87970
"2017-12-01 00:00:00",833.2493461832998598,T2,69209
"2018-01-01 00:00:00",4399.0653357531760436,T7,551
"2018-01-01 00:00:00",2542.9455942301661963,T5,6378
"2018-01-01 00:00:00",1860.8183413372737348,T4,10828
"2018-01-01 00:00:00",1213.5531577696188489,T3,37859
"2018-01-01 00:00:00",3392.2872109826589595,T6,2768
"2018-01-01 00:00:00",162.1808409772446640,T1,90704
"2018-01-01 00:00:00",831.6686661515768772,T2,71185
"2018-02-01 00:00:00",4396.1326699834162521,T7,603
"2018-02-01 00:00:00",2543.3453279164248404,T5,6892
"2018-02-01 00:00:00",1861.7676905963891503,T4,11687
"2018-02-01 00:00:00",1215.7947967397612859,T3,39629
"2018-02-01 00:00:00",3394.9006644518272425,T6,3010
"2018-02-01 00:00:00",164.7642340677766979,T1,93631
"2018-02-01 00:00:00",830.0415694938832290,T2,73323
"2018-03-01 00:00:00",4400.1047040971168437,T7,659
"2018-03-01 00:00:00",2542.8876449959536013,T5,7414
"2018-03-01 00:00:00",1861.9220882892951225,T4,12527
"2018-03-01 00:00:00",1217.9135140358506064,T3,41394
"2018-03-01 00:00:00",3396.8251148545176110,T6,3265
"2018-03-01 00:00:00",167.1531087572233346,T1,96389
"2018-03-01 00:00:00",828.5255135235616693,T2,75313
"2018-04-01 00:00:00",4400.0428769017980636,T7,723
"2018-04-01 00:00:00",2543.4548545523233850,T5,7941
"2018-04-01 00:00:00",1861.8320873205741627,T4,13376
"2018-04-01 00:00:00",1219.6595749622575775,T3,43055
"2018-04-01 00:00:00",3396.9838389566203572,T6,3527
"2018-04-01 00:00:00",169.3535526846992329,T1,99080
"2018-04-01 00:00:00",827.0241972046270029,T2,77199
"2018-05-01 00:00:00",4399.1666666666666667,T7,786
"2018-05-01 00:00:00",2543.4153592072667217,T5,8477
"2018-05-01 00:00:00",1861.9846489683825083,T4,14201
