steam_id,accuracy_no_onos
122771695,0.133633633633634
102825755,0.0861314850952157
59399625,0.126333760136577
75154652,0.0816844428098566
102398750,0.164960353307237
39867161,0.110448242502419
14987313,0.152561451270909
86322835,0.182632079493654
345467802,0.164744584904266
145189638,0.196869196073229
3881612,0.152941176470588
78229104,0.146756917584052
47452996,0.19206545411737
104330739,0.119319394068701
22811522,0.226432940286273
118098178,0.120544362650136
18024384,0.141286046164667
62530989,0.131370264047978
96553831,0.129646096389827
1292962,0.0995917303683113
315139255,0.288696095942843
72641771,0.257409424844269
174373232,0.142845319870893
167214714,0.150826718126398
33989296,0.121061973080905
167760847,0.15178004408084
114167955,0.245691445182724
84261611,0.212816547011704
1704188,0.0953565150280839
270643,0.18146267278603
223578299,0.187935213326665
72862171,0.158758815232722
47332641,0.148325010908033
67537299,0.267467279116744
46653843,0.169085850289967
37592120,0.118760210564531
1523183,0.126699029126214
20441887,0.173920729766998
45799864,0.117698369728689
2652168,0.131341712180036
8690272,0.191435890000483
50515001,0.127355176598327
38379696,0.140464872879508
51128022,0.185210119764723
10457275,0.20102208923108
51003776,0.162383642294534
33320329,0.209187321258341
26136859,0.0911503332510491
84888044,0.188627404133317
38400918,0.180351239669421
65908473,0.176526978909888
8820260,0.124130748815803
5212942,0.16213768115942
34901330,0.216889901628411
2418240,0.290511584304272
8105940,0.169171224896823
2195055,0.154878250786815
47298565,0.119728246668409
95084535,0.277210035465651
3837861,0.197534550418017
11139837,0.219475227840876
74413498,0.124066683831102
11981867,0.187376367067597
209828319,0.0907935887412041
75715334,0.196677268937405
4530559,0.288958147818344
143522462,0.134922809902256
55598060,0.237427950160494
291556950,0.152700284240446
18556015,0.224370516052187
23736283,0.117933497194268
102589052,0.0977369087605308
31443665,0.0830341317093124
3930567,0.123158717748241
42135872,0.171066214422652
25840294,0.136666105121294
3582813,0.133383789238476
156984395,0.0986772084537023
26572214,0.115551264541045
3325858,0.24007561436673
6033546,0.20275290345286
268642960,0.121374343001752
12559537,0.165496098104794
75834455,0.0827155676941085
61882292,0.131500347776278
47164343,0.109835997162292
78591066,0.110412277115633
18679527,0.207595953510556
97349263,0.135324078697693
1874909,0.0892633918236955
43401705,0.145475586083321
459259,0.127662209014364
38904302,0.128131194809876
56923109,0.170462926808104
124093090,0.174999499028115
54924156,0.161387789122734
5330575,0.111728813559322
18055425,0.142471303173531
23803420,0.174481026047865
47772157,0.116952877024497
22024610,0.152978723404255
4002227,0.144143866251272
58276553,0.145138976229405
148093505,0.117642685435305
75644213,0.0487064714361581
76828459,0.15782635279731
73222240,0.110279350009129
10985044,0.172931462555575
85120636,0.136762562103948
80888465,0.144859000660663
23646913,0.131710834051383
324576256,0.168940032736471
167918426,0.158724924429788
85075325,0.116990196714926
112186878,0.166517291467071
113621034,0.130266992202883
249730051,0.15796037527281
322396373,0.103649684324251
337558944,0.10092173870067
67648310,0.138052449226782
86267688,0.149166087560806
58561083,0.146592349831352
53256587,0.152407875812131
8641468,0.173520448474359
3723521,0.162039269720978
120890448,0.197390493942218
77596,0.191206313416009
52881962,0.251095139665864
2924913,0.131511361733013
8820522,0.171518856195607
129329244,0.115166371601071
66664011,0.170979198376459
34389634,0.13208670795617
159285794,0.128630451415455
408174,0.132908589145174
58320887,0.211343447842151
111801788,0.132052620588849
99922,0.162156425766741
141962336,0.153019132876953
121808858,0.0981893176733781
38678743,0.192816431874395
208908765,0.18135679242091
55230041,0.143112701252236
65000683,0.139890357949049
66508119,0.134880858172866
4593413,0.265075673307042
195469923,0.140584109703758
130425032,0.277973592928276
60178520,0.172561096761375
131547597,0.236866020425827
185011856,0.166033019113588
105699688,0.212377287928369
52310087,0.309600104633293
76155165,0.269862036156042
3854600,0.112488974212629
969860,0.234610428883221
46210564,0.258067453932789
3713613,0.179928589645499
49201346,0.138575861505798
18445569,0.120552505295923
25685274,0.177464689761788
91421743,0.106508066721356
103222137,0.132073277115441
92470875,0.195433514383424
1697571,0.337234849998003
4886690,0.162425384857053
127124677,0.183609010057352
150387900,0.146898196223222
5265,0.200308013314124
101350784,0.135848549043344
1304714,0.123223177908556
327190,0.137298312703365
130008460,0.122461611011229
42045250,0.234033216311099
131409123,0.103149327671621
87826210,0.162825041987606
165460,0.203548161309428
207663560,0.111430933643629
92473664,0.155490700206147
54565285,0.130425065927681
82001998,0.23708583714648
121445540,0.303231903231903
129049498,0.215207343689819
3245089,0.152799178222907
140343938,0.163234981957122
1042213,0.215498492884124
79070587,0.226258763543658
11019789,0.181620209059233
18399722,0.186285060873075
3816991,0.176846352123725
59560484,0.180814331133978
4418733,0.0777335375191424
134513031,0.155575127708297
141737726,0.206025483858984
50428411,0.140131901673298
83723903,0.154361174816897
48733670,0.308052088718214
756783,0.109516416101791
39594079,0.276233593037131
309410,0.125315349069564
49079201,0.100187894242384
45788112,0.102803738317757
16006077,0.158439035538796
121608212,0.183594332587621
83460477,0.155015015015015
5842038,0.2173458476892
1666518,0.129894236995467
318227241,0.131790369779197
90580908,0.0970748463036296
345186135,0.125699509860677
30137,0.162197744327906
698284,0.169372921982525
90314,0.169816167027483
47135802,0.236967403247467
156570913,0.0983749384446381
73652188,0.217223295611372
42294218,0.142768239557785
9096970,0.10039656846876
85251757,0.131043106906071
125760543,0.117283950617284
58828079,0.279366535369341
45270154,0.121045836023241
3867806,0.117517890402902
86979762,0.122288665398206
10860574,0.136040822768162
89727826,0.139676870041949
36002414,0.206914631137429
88261148,0.166902554667044
7747335,0.220564760279628
941410,0.182994664547622
87226053,0.175855214980647
63641011,0.145523839153768
160224119,0.127882349431733
188724974,0.0810404902078577
126780143,0.139184603226256
146637909,0.109487048865551
214198921,0.0848930481283423
162941053,0.168221586432807
33366519,0.119847678149572
63073751,0.228415670033385
