id,steam_id,accuracy_no_onos,round_count
185,1021969,0.265837864842534,30
197,72641771,0.257409424844269,30
202,315139255,0.288696095942843,30
220,144869096,0.326253354046039,30
222,2418240,0.290511584304272,30
235,67537299,0.267467279116744,30
262,53583,0.312902462121212,30
363,12034125,0.306302426925263,30
367,18556015,0.224370516052187,30
559,1277826,0.199047963988203,30
566,37166142,0.249001250958396,30
581,52310087,0.309600104633293,30
691,37617670,0.31343765123407,30
770,48733670,0.308052088718214,30
794,39594079,0.276233593037131,30
1011,73407070,0.30384361129474,30
1056,46992324,0.305108503789845,30
1374,47602677,0.317217135811538,30
1438,818729,0.274861061842261,30
1822,78372106,0.283419116880952,30
1858,29469413,0.210533707865169,30
2289,49202241,0.233644526795895,30
2813,6638152,0.331873991902301,30
2878,107716916,0.347445072714754,30
3938,49650612,0.263366745418263,30
4187,298774105,0.32893929351695,30
4188,46453582,0.187630613934782,30
4366,3119646,0.317555261936221,30
4626,70204576,0.294979079497908,30
4968,100245460,0.320145255654435,30
5246,1839838,0.290419635787807,30
5375,351532064,0.273369243907246,30
5533,35234004,0.290396809163428,30
5828,3187207,0.223985890652557,30
5947,87434472,0.132261879913727,30
6271,3393030,0.28711131360138,30
7986,302984041,0.355113525342921,30
8268,51623684,0.341845878136201,30
8464,10478776,0.284582088642322,30
8957,355797688,0.272215441552817,30
9679,32950287,0.290406834382312,30
9875,244106245,0.34143040058533,30
9994,271637648,0.31086186540732,30
10625,75983205,0.320400757696784,30
10865,55785405,0.315542144835774,30
11668,63554495,0.267390966940866,30
11676,105049954,0.350057920648711,30
11978,231370709,0.294991455238596,30
12076,244084317,0.336695080620314,30
12117,251876583,0.253584460580148,30
12142,181662,0.308820919363427,30
12230,50996886,0.277664869959648,30
12302,41367443,0.260051387833388,30
13068,81086715,0.276551139658326,30
14439,93010157,0.269260066717449,30
14511,137845253,0.249760432093388,30
14996,9113773,0.229346645284776,30
15596,59625362,0.2524775382717,30
15776,11674930,0.377994563422503,30
16117,50679424,0.267849976848279,30
16207,17533128,0.340998669444933,30
16242,803162,0.3672886468594,30
16298,148207137,0.298464976455878,30
16426,112440927,0.306105774979076,30
16507,24182083,0.287335504132868,30
17235,49465,0.339461141912265,30
17262,111700052,0.282816032887975,30
17673,36622746,0.36034726508831,30
18157,28221725,0.298400609291698,30
18158,126698727,0.284733210962719,30
18282,217281762,0.393809713375796,30
18932,33137864,0.286807571431999,30
19175,21355508,0.299403114780342,30
19592,377832833,0.29403003859708,30
19906,4798435,0.273674993843544,30
19918,60141109,0.263059701492537,30
19975,344054,0.251951407211961,30
20027,3551432,0.312474560294779,30
20044,47345795,0.210553824925258,30
20149,158158,0.243845555843483,30
20372,44406078,0.313257021163317,30
20710,89591956,0.255708082364477,30
20884,111520971,0.332835128588363,30
21266,79219439,0.304285047870804,30
21593,26653344,0.278310320850303,30
22264,24767946,0.29093905400717,30
22434,14894155,0.227476529473126,30
23500,3850782,0.249890782000874,30
24513,82238,0.294540329474827,30
24695,141480778,0.278643476011897,30
24952,41778813,0.269386459242797,30
25115,113507251,0.361063950198076,30
25789,8558586,0.300805705983358,30
26444,33247279,0.127507163323782,30
26705,54828328,0.247645528746973,30
26726,7473231,0.174848902555402,30
27171,287804,0.282098135110442,30
27644,265699,0.27265218121745,30
27787,15974914,0.255016522197213,30
28097,334772194,0.305082694634933,30
28264,3601796,0.251690633501749,30
34211,81399837,0.188039799989898,30
40755,422164003,0.202334880285196,30
41383,667923,0.319176236607429,30
42139,45574417,0.283149007016292,30
42898,31103132,0.27030056750508,30
44355,10365768,0.283177481817323,30
45444,98390626,0.313625876297808,30
46020,53772110,0.291483842815932,30
50540,29877750,0.336153210865829,30
50762,1235890,0.245637910085055,30
51084,838520998,0.259243045329725,30
51819,157580960,0.335301682757621,30
56085,49905871,0.334598646498342,30
56091,858394361,0.262112213800109,30
56338,58429955,0.288973316210046,30
56608,18657770,0.340613563809079,30
57248,24484992,0.246694936393115,30
57316,340450096,0.221399523662935,30
57319,9718315,0.390398187268393,30
57972,224808545,0.272420943494038,30
58488,79550845,0.317309896828429,30
58663,61161470,0.305170073983277,30
59143,429248307,0.130664354953109,30
61482,8005022,0.364431486880466,30
63391,12308191,0.236521172284542,30
63659,83076348,0.335456902268936,30
64519,55195153,0.273884780534351,30
66006,69728201,0.290299906279288,30
66058,2574695,0.300983956675396,30
76720,36726681,0.258255646454489,30
76872,54965415,0.340965663341866,30
78712,60318950,0.2308196005675,30
78783,2744846,0.281730836994057,30
93455,415682635,0.315134971185927,30
111504,881750757,0.322592915799602,30
113817,375146141,0.320077503632983,30
115218,892829701,0.214892255173885,30
119213,907123378,0.274158650712964,30
120047,8483779,0.273922902494331,30
128588,54807279,0.241148379439939,30
