 timestamp,average_skill
 "2017-04-01 00:00:00",652.7490592091287063
 "2017-05-01 00:00:00",672.0530541037483169
 "2017-06-01 00:00:00",689.6935623626621194
 "2017-07-01 00:00:00",705.8378870431893688
 "2017-08-01 00:00:00",721.3913241219388768
 "2017-09-01 00:00:00",735.3853253660290344
 "2017-10-01 00:00:00",729.2010059736059461
 "2017-11-01 00:00:00",741.4733422697963856
 "2017-12-01 00:00:00",752.6567397675974705
 "2018-01-01 00:00:00",762.8637100325505169
 "2018-02-01 00:00:00",772.0495858376133756
 "2018-03-01 00:00:00",781.1088955566527825
 "2018-04-01 00:00:00",789.7120387421856179
 "2018-05-01 00:00:00",798.0079630816967855
 "2018-06-01 00:00:00",805.9492344821225443
 "2018-07-01 00:00:00",814.0359821877736580
 "2018-08-01 00:00:00",821.3914085719037667
 "2018-09-01 00:00:00",828.7078878346740833
 "2018-10-01 00:00:00",836.1523435756395862
 "2018-11-01 00:00:00",843.7533236442545325
 "2018-12-01 00:00:00",851.4387702047369746
 "2019-01-01 00:00:00",858.2467257404961947
 "2019-02-01 00:00:00",865.0756428100960642
 "2019-03-01 00:00:00",871.3173915286591343
 "2019-04-01 00:00:00",869.9753283221903665
