account_id,skill,adagrad_sum
2794006,677,0.0430441844315631
293055525,764,0.0203111567682635
103823988,409,0.00329422288385826
87826210,2341,0.119933819281465
117225500,2408,0.276475993683699
22013,1622,0.094174716127197
52881962,3323,0.545806649636036
132483779,2910,0.0394143952978405
31190340,1029,0.00656027310381125
166354450,392,0.019380503880191
31304547,1744,0.0116793378484115
442072682,255,0.00348410900853625
87261876,53,0.0164609156246374
122347395,96,0.0145618674021008
199884303,21,0.00548405093739423
8690272,2015,0.0196035008599283
202927444,972,0.00985193554974974
368702193,473,0.0274673257465809
81835274,193,0.0206286538700648
16595267,184,0.0327555539591221
404739616,2011,0.00758885634914288
125401761,981,0.105022596251873
77928612,460,0.00185269579777863
11801927,983,0.0123222470552331
67671925,1328,0.00823734237915297
917947145,1230,0.0055460638144958
54311918,831,0.00596917212548566
129537769,1042,0.07106306702531
134781823,1900,0.389217192128155
118601588,171,0.223801662297328
89572291,130,0.0368820434021329
293887187,57,0.00559001788682609
34530518,1181,0.0200177029121885
480231630,814,0.00583297708913746
164309853,764,0.019466724775865
287097514,372,0.00463753070134212
2096312,524,0.0156468979410426
203459972,615,0.0208471508461325
103528865,697,0.0127955225136293
102806839,246,0.00500284244152848
79087093,362,0.00726485022892485
438760967,1788,0.0431677135357929
97773845,1097,0.0337593463818495
116087635,1961,0.00190429394337405
149358100,753,0.00804538354405735
41911909,1466,0.00519517274551258
839690237,152,0.00921370418033074
48749355,752,0.00220098667216333
104771956,149,0.0119466844263696
314998378,1171,0.00389538776824438
170949858,732,0.00973067691498197
72332977,379,0.00237493142588655
90968579,1396,0.000925771402773723
110757002,66,0.00810817038872111
160486555,574,0.0121965661424311
121409723,545,0.0328900656601554
3358840,285,0.0122775293041827
191811555,0,0.00722757010811093
1768726,647,0.000250178392853901
33177119,1364,0.0166034741186691
84589172,53,0.0323166881311352
20131788,0,0.00455479730045999
12469896,2240,0.7297872241077
151866767,506,0.00399530308493309
4418733,0,0.033243140910921
560232260,696,0.0857789348519847
46822688,2357,0.0502859490377295
94434569,0,0.0058829038298161
181109293,506,0.00689231245498687
182328336,130,0.00142295141838799
115330279,1773,0.163550113209392
86099078,0,0.00374284760235143
130029192,2037,0.350390962911251
46298088,2653,0.401860823635377
117179616,1727,0.00561087586057444
149480982,622,0.0026924922989558
95395772,1265,0.00952438673646065
190892887,0,0.00666590282429872
7434292,977,2.60053290834514e-07
55463717,1163,1.19935513796289
122685422,1260,0.0189509980729058
337682836,1334,0.0335052258922184
4056628,64,0.00881437102953731
193967803,1763,0.0333678653639083
103031516,2707,0.497784487981709
108640905,572,0.00563233247684484
67964493,1151,0.096215169612566
121180780,812,0.0396907828766122
172400535,2152,0.0151623293750756
283521306,1468,0.0178262670465942
916914773,1654,0.00679413752729102
105492356,636,0.0344603198793114
39684411,171,0.0150942600622092
93941958,1944,0.0390134236091165
12888271,911,0.0490786670346668
279763826,1044,0.0131745531789493
10478776,4840,0.0214664339921195
211381463,977,0.0192777623145839
