coordinates,map,team
"88.11 29.82 69.22",ns2_unearthed,aliens
"142.69 31.60 78.93",ns2_unearthed,marines
"158.11 30.91 77.86",ns2_unearthed,aliens
"127.31 30.43 71.42",ns2_unearthed,marines
"129.77 32.69 75.93",ns2_unearthed,aliens
"123.96 30.49 25.91",ns2_unearthed,marines
"161.77 29.21 87.43",ns2_unearthed,marines
"161.85 29.21 84.27",ns2_unearthed,marines
"157.32 30.70 88.82",ns2_unearthed,marines
"150.88 30.50 86.17",ns2_unearthed,aliens
"132.79 31.10 80.51",ns2_unearthed,marines
"124.60 30.31 80.48",ns2_unearthed,aliens
"101.10 35.28 126.47",ns2_unearthed,aliens
"129.57 30.31 80.86",ns2_unearthed,marines
"111.54 35.67 135.58",ns2_unearthed,aliens
"111.21 36.64 140.09",ns2_unearthed,marines
"106.22 38.21 143.95",ns2_unearthed,aliens
"94.84 34.79 97.88",ns2_unearthed,marines
"90.03 34.92 103.09",ns2_unearthed,aliens
"115.26 39.41 151.84",ns2_unearthed,aliens
"133.62 31.10 83.66",ns2_unearthed,marines
"130.04 30.39 83.81",ns2_unearthed,marines
"134.09 31.90 27.36",ns2_unearthed,marines
"132.71 35.45 29.43",ns2_unearthed,aliens
"133.75 30.49 28.17",ns2_unearthed,marines
"131.67 33.60 33.12",ns2_unearthed,aliens
"163.58 30.78 92.51",ns2_unearthed,marines
"120.14 31.79 24.06",ns2_unearthed,aliens
"130.13 31.35 33.57",ns2_unearthed,marines
"164.10 30.35 159.21",ns2_unearthed,marines
"166.75 29.54 146.34",ns2_unearthed,marines
"134.89 30.68 129.65",ns2_unearthed,aliens
"161.69 30.35 153.64",ns2_unearthed,marines
"162.42 30.35 154.34",ns2_unearthed,aliens
"171.12 30.29 166.19",ns2_unearthed,aliens
"162.06 30.48 140.83",ns2_unearthed,aliens
"158.73 30.44 147.40",ns2_unearthed,aliens
"140.10 30.75 41.02",ns2_unearthed,aliens
"144.69 32.37 20.01",ns2_unearthed,aliens
"134.26 31.10 84.18",ns2_unearthed,marines
"142.10 30.51 23.34",ns2_unearthed,aliens
"179.09 31.56 157.13",ns2_unearthed,aliens
"124.48 32.12 145.39",ns2_unearthed,marines
"170.72 28.46 163.78",ns2_unearthed,aliens
"174.83 30.32 164.42",ns2_unearthed,aliens
"172.49 30.31 165.28",ns2_unearthed,marines
"164.68 31.67 164.80",ns2_unearthed,aliens
