x,y,z,map
-22.82,-1.18,65.15,ns2_tram
-32.06,-2.22,68.45,ns2_tram
-25.46,-1.42,64.60,ns2_tram
-30.17,0.21,87.33,ns2_tram
-0.43,-3.07,-5.18,ns2_tram
1.19,-2.42,-8.23,ns2_tram
-3.73,2.97,84.66,ns2_tram
-2.10,2.26,81.30,ns2_tram
4.02,0.61,80.44,ns2_tram
-6.06,2.34,71.56,ns2_tram
9.28,-2.42,-9.68,ns2_tram
-0.32,0.61,74.16,ns2_tram
-5.05,2.34,69.46,ns2_tram
-30.59,-0.71,75.33,ns2_tram
-33.52,0.41,65.23,ns2_tram
-13.90,-1.41,67.28,ns2_tram
2.41,-2.40,-7.77,ns2_tram
-30.87,-3.33,77.27,ns2_tram
-32.44,-2.22,68.43,ns2_tram
38.40,0.53,27.42,ns2_tram
-24.56,-1.46,74.14,ns2_tram
-26.19,-1.46,76.14,ns2_tram
-33.12,-1.85,69.45,ns2_tram
-34.18,-2.12,65.38,ns2_tram
-32.43,-3.17,74.77,ns2_tram
-31.24,-2.22,66.90,ns2_tram
-23.51,-1.51,78.47,ns2_tram
-32.19,-3.18,74.53,ns2_tram
-23.96,-1.51,78.79,ns2_tram
-33.40,1.73,80.57,ns2_tram
-23.60,-1.08,77.85,ns2_tram
-23.86,-0.29,80.99,ns2_tram
-19.43,-0.11,56.72,ns2_tram
-30.43,0.09,90.99,ns2_tram
-24.20,-1.42,84.92,ns2_tram
-24.94,-0.97,85.78,ns2_tram
-23.92,-0.13,87.80,ns2_tram
-20.62,-1.35,67.71,ns2_tram
-25.29,-1.41,62.75,ns2_tram
-32.31,-2.55,71.84,ns2_tram
-35.81,-1.41,66.36,ns2_tram
-30.85,-2.23,65.79,ns2_tram
-30.52,-2.22,66.72,ns2_tram
-29.42,-2.34,71.71,ns2_tram
38.21,0.21,1.50,ns2_tram
-29.10,-2.08,70.83,ns2_tram
-20.87,-0.74,69.60,ns2_tram
-27.07,-3.08,84.06,ns2_tram
-33.18,-2.09,75.20,ns2_tram
-21.28,-0.94,80.17,ns2_tram
-22.53,-1.51,82.73,ns2_tram
-21.27,-1.48,82.67,ns2_tram
-17.00,-1.34,42.44,ns2_tram
-33.15,-1.97,66.00,ns2_tram
-29.37,-0.79,70.38,ns2_tram
33.20,10.89,31.06,ns2_tram
-23.72,-1.51,78.49,ns2_tram
-35.04,4.60,75.77,ns2_tram
16.78,0.19,10.54,ns2_tram
-21.99,-1.53,46.35,ns2_tram
-25.18,-1.51,79.11,ns2_tram
-31.23,-3.01,72.76,ns2_tram
-27.23,-0.73,66.73,ns2_tram
37.52,0.21,35.89,ns2_tram
-31.39,-2.22,68.73,ns2_tram
-25.70,-0.79,65.15,ns2_tram
-21.42,-1.52,78.72,ns2_tram
-19.34,-1.51,67.59,ns2_tram
-25.66,-1.51,74.68,ns2_tram
-18.29,-1.51,66.63,ns2_tram
-31.07,-2.22,67.39,ns2_tram
-32.32,-3.24,78.00,ns2_tram
-23.38,-1.51,82.94,ns2_tram
36.90,0.27,34.87,ns2_tram
40.54,0.47,30.17,ns2_tram
-21.80,-1.51,95.20,ns2_tram
54.25,0.20,23.62,ns2_tram
-32.00,0.00,97.88,ns2_tram
32.99,0.21,37.79,ns2_tram
-28.94,-2.18,65.99,ns2_tram
35.89,0.24,34.82,ns2_tram
-33.92,-1.97,77.21,ns2_tram
51.31,0.21,23.58,ns2_tram
42.85,-1.32,36.94,ns2_tram
-30.06,-1.30,79.85,ns2_tram
30.01,0.21,2.57,ns2_tram
48.41,-3.03,33.60,ns2_tram
-59.55,-0.39,76.36,ns2_tram
28.05,0.21,-7.33,ns2_tram
16.79,4.89,-3.27,ns2_tram
22.71,0.21,6.98,ns2_tram
-44.37,-0.16,87.59,ns2_tram
16.09,0.21,4.81,ns2_tram
24.69,0.21,-3.76,ns2_tram
20.11,0.64,3.77,ns2_tram
4.11,-2.42,-8.00,ns2_tram
6.29,1.09,-3.90,ns2_tram
23.67,2.00,-2.08,ns2_tram
13.11,0.21,10.09,ns2_tram
-61.18,-3.39,63.73,ns2_tram
-4.37,-2.82,20.84,ns2_tram
-83.49,-1.51,57.53,ns2_tram
20.97,0.21,-10.25,ns2_tram
37.49,-2.64,77.19,ns2_tram
37.12,-2.95,67.15,ns2_tram
-85.53,-1.46,54.26,ns2_tram
27.85,0.37,-8.15,ns2_tram
16.59,-3.04,55.84,ns2_tram
27.38,-1.55,50.04,ns2_tram
-86.75,-1.46,53.84,ns2_tram
-78.35,-2.02,75.21,ns2_tram
-78.29,-2.02,77.06,ns2_tram
-83.16,-1.79,77.12,ns2_tram
19.52,0.21,-7.10,ns2_tram
7.98,-3.97,51.73,ns2_tram
3.27,-2.42,-8.90,ns2_tram
-1.64,1.10,-10.24,ns2_tram
16.15,-1.26,-8.45,ns2_tram
9.15,-3.63,28.77,ns2_tram
-56.05,-3.44,55.33,ns2_tram
24.28,0.21,-2.70,ns2_tram
-56.51,1.21,60.01,ns2_tram
46.05,0.00,2.27,ns2_tram
48.50,1.19,17.54,ns2_tram
-72.60,-2.81,72.92,ns2_tram
-80.01,-1.51,59.35,ns2_tram
32.19,1.42,2.11,ns2_tram
-76.35,-2.32,60.43,ns2_tram
-79.87,-1.51,59.52,ns2_tram
-82.86,0.09,60.01,ns2_tram
-72.07,-3.54,60.17,ns2_tram
-81.21,-0.76,86.26,ns2_tram
-82.42,-0.73,81.49,ns2_tram
-52.32,-3.58,38.85,ns2_tram
-62.72,-0.17,86.25,ns2_tram
-69.84,-0.70,84.26,ns2_tram
-3.40,-2.93,0.88,ns2_tram
-60.66,-0.01,88.34,ns2_tram
-66.76,0.08,85.44,ns2_tram
-69.53,-0.09,88.90,ns2_tram
-6.32,-1.92,2.01,ns2_tram
-70.27,1.44,86.98,ns2_tram
-4.43,-2.43,2.83,ns2_tram
-72.95,0.28,92.09,ns2_tram
-67.82,0.44,88.87,ns2_tram
-0.90,-2.37,-5.13,ns2_tram
-64.98,1.34,96.19,ns2_tram
-69.55,0.59,85.28,ns2_tram
33.41,0.21,1.58,ns2_tram
32.65,0.21,3.03,ns2_tram
27.65,1.97,84.18,ns2_tram
31.16,-0.04,83.40,ns2_tram
26.45,1.83,79.13,ns2_tram
26.41,-3.45,69.04,ns2_tram
35.96,-3.47,73.92,ns2_tram
24.71,-3.55,74.32,ns2_tram
34.93,0.26,30.98,ns2_tram
35.48,0.27,33.78,ns2_tram
40.73,0.47,31.55,ns2_tram
39.90,0.00,21.72,ns2_tram
30.60,0.21,23.35,ns2_tram
45.49,0.21,26.75,ns2_tram
39.78,0.18,26.55,ns2_tram
38.86,-0.10,24.98,ns2_tram
40.49,0.27,34.22,ns2_tram
40.24,-2.42,41.42,ns2_tram
31.10,0.23,22.13,ns2_tram
24.05,0.33,-2.91,ns2_tram
26.38,1.83,99.29,ns2_tram
10.54,-0.57,93.32,ns2_tram
-19.42,-3.05,24.78,ns2_tram
-33.05,-2.22,66.85,ns2_tram
-22.99,-1.49,78.97,ns2_tram
-28.40,-2.17,67.81,ns2_tram
-29.29,-2.12,68.28,ns2_tram
-33.09,-2.22,69.43,ns2_tram
-32.04,-0.72,65.72,ns2_tram
47.90,-2.17,28.05,ns2_tram
-22.60,1.82,60.28,ns2_tram
-14.48,15.63,89.74,ns2_tram
-21.73,-1.41,89.63,ns2_tram
