x,y,z,map
-95.32,-0.46,-67.72,ns2_veil_cured
-66.82,-4.15,-68.82,ns2_veil_cured
-95.94,-2.94,-83.79,ns2_veil_cured
-97.87,-4.22,-83.15,ns2_veil_cured
-93.74,-2.81,-86.41,ns2_veil_cured
-98.17,-3.53,-85.99,ns2_veil_cured
-66.02,-2.67,-97.87,ns2_veil_cured
-64.92,-4.15,-104.54,ns2_veil_cured
42.23,-2.31,-157.09,ns2_veil_cured
-25.68,-1.04,-27.04,ns2_veil_cured
-50.81,-1.37,-110.66,ns2_veil_cured
-76.17,-3.90,-87.66,ns2_veil_cured
-74.34,-3.43,-88.11,ns2_veil_cured
-72.25,-3.71,-86.14,ns2_veil_cured
-38.57,-6.84,-16.73,ns2_veil_cured
-71.83,-2.73,-89.02,ns2_veil_cured
-40.20,-7.20,-18.73,ns2_veil_cured
-92.39,-4.03,-74.92,ns2_veil_cured
-86.71,-3.54,-78.93,ns2_veil_cured
-85.74,-2.93,-79.33,ns2_veil_cured
3.04,-0.94,-94.86,ns2_veil_cured
-84.31,-3.33,-70.39,ns2_veil_cured
22.80,-2.31,-149.15,ns2_veil_cured
-9.84,-2.28,-57.13,ns2_veil_cured
-6.77,-0.95,-57.11,ns2_veil_cured
31.45,2.23,-153.54,ns2_veil_cured
5.84,-2.30,-58.56,ns2_veil_cured
3.93,-2.29,-58.57,ns2_veil_cured
19.62,-2.30,-59.11,ns2_veil_cured
-37.10,0.65,-171.63,ns2_veil_cured
-4.44,-2.03,-132.07,ns2_veil_cured
-57.81,-1.59,-171.63,ns2_veil_cured
8.68,-2.30,-133.46,ns2_veil_cured
30.61,2.19,-153.25,ns2_veil_cured
29.54,2.07,-155.79,ns2_veil_cured
-53.64,-3.21,-167.92,ns2_veil_cured
-53.99,-2.22,-175.46,ns2_veil_cured
-49.94,-2.30,-176.48,ns2_veil_cured
-68.58,-2.30,-175.51,ns2_veil_cured
37.68,-1.60,-161.08,ns2_veil_cured
18.78,-2.85,-151.74,ns2_veil_cured
-9.94,1.05,-49.33,ns2_veil_cured
-26.95,0.48,-130.66,ns2_veil_cured
-10.64,-4.93,-154.13,ns2_veil_cured
-15.01,-2.28,-76.52,ns2_veil_cured
-97.61,-0.86,-94.14,ns2_veil_cured
9.53,2.24,-159.83,ns2_veil_cured
30.48,2.24,-159.52,ns2_veil_cured
-8.94,-1.29,-88.25,ns2_veil_cured
-95.45,-4.16,-57.25,ns2_veil_cured
-96.50,-4.06,-63.68,ns2_veil_cured
-15.63,-2.32,-47.44,ns2_veil_cured
-93.59,-3.96,-80.17,ns2_veil_cured
-14.55,-1.34,-83.34,ns2_veil_cured
4.24,-3.11,-117.31,ns2_veil_cured
-3.30,-2.30,-109.25,ns2_veil_cured
35.38,-0.44,-143.72,ns2_veil_cured
23.65,-0.02,-36.78,ns2_veil_cured
8.23,-3.11,-66.63,ns2_veil_cured
-38.06,-6.49,-9.55,ns2_veil_cured
-56.02,-1.80,-172.41,ns2_veil_cured
-14.72,-2.30,-70.52,ns2_veil_cured
-57.53,-1.59,-177.67,ns2_veil_cured
-17.16,-1.28,-46.93,ns2_veil_cured
-18.89,-6.51,-173.92,ns2_veil_cured
-13.90,-2.33,-32.09,ns2_veil_cured
2.92,0.96,-41.71,ns2_veil_cured
-14.47,-2.16,-32.96,ns2_veil_cured
-23.60,-2.30,-30.71,ns2_veil_cured
50.45,-1.08,-49.55,ns2_veil_cured
38.20,-1.58,-47.33,ns2_veil_cured
51.96,-2.12,-50.26,ns2_veil_cured
36.44,-2.19,-48.47,ns2_veil_cured
38.13,-1.41,-34.63,ns2_veil_cured
-95.43,-4.15,-89.07,ns2_veil_cured
1.19,-3.36,-166.96,ns2_veil_cured
-13.39,-2.31,-71.54,ns2_veil_cured
-48.93,-1.49,-113.15,ns2_veil_cured
-64.12,-2.66,-98.19,ns2_veil_cured
-64.89,-4.15,-83.09,ns2_veil_cured
-78.53,-4.21,-90.84,ns2_veil_cured
-13.49,-2.86,-9.47,ns2_veil_cured
-21.12,-4.50,-5.21,ns2_veil_cured
-11.94,-0.96,-16.16,ns2_veil_cured
-11.46,-2.37,-9.36,ns2_veil_cured
-15.13,-0.70,-84.79,ns2_veil_cured
-60.38,0.53,-93.30,ns2_veil_cured
-8.15,-2.34,-35.17,ns2_veil_cured
42.00,-2.26,-152.44,ns2_veil_cured
-9.64,-2.28,-57.77,ns2_veil_cured
7.38,-0.81,-62.04,ns2_veil_cured
2.41,-0.20,-59.76,ns2_veil_cured
-9.41,-2.30,-100.01,ns2_veil_cured
37.58,-2.12,-156.18,ns2_veil_cured
3.61,-3.11,-75.68,ns2_veil_cured
1.91,-3.11,-76.78,ns2_veil_cured
2.40,-2.78,-74.06,ns2_veil_cured
-56.08,-1.84,-148.60,ns2_veil_cured
-55.93,-2.30,-147.81,ns2_veil_cured
-5.07,-1.62,-71.59,ns2_veil_cured
-2.30,-2.35,-73.86,ns2_veil_cured
-36.61,-6.49,-8.65,ns2_veil_cured
-31.17,-6.57,-6.66,ns2_veil_cured
-40.31,-0.42,-34.44,ns2_veil_cured
-16.99,-2.37,-35.24,ns2_veil_cured
-14.46,-0.94,-38.43,ns2_veil_cured
-10.85,-1.27,-54.28,ns2_veil_cured
-14.24,-2.31,-34.31,ns2_veil_cured
-15.78,-1.13,-41.27,ns2_veil_cured
7.63,-2.30,-131.91,ns2_veil_cured
-81.08,-4.18,-66.75,ns2_veil_cured
-15.47,-2.27,-85.09,ns2_veil_cured
-23.59,-2.32,-41.13,ns2_veil_cured
-14.94,-1.35,-73.75,ns2_veil_cured
-39.61,-0.47,-32.70,ns2_veil_cured
-22.63,-2.30,-10.19,ns2_veil_cured
-36.06,-7.21,-13.59,ns2_veil_cured
11.14,-1.09,-97.41,ns2_veil_cured
-5.89,-1.40,-100.01,ns2_veil_cured
-16.17,-2.30,-100.75,ns2_veil_cured
-63.70,-7.43,-26.50,ns2_veil_cured
-62.45,-7.32,-28.44,ns2_veil_cured
-52.91,-5.96,-19.68,ns2_veil_cured
59.88,-2.35,-106.64,ns2_veil_cured
54.28,-1.53,-97.97,ns2_veil_cured
-10.30,-1.19,-72.20,ns2_veil_cured
-54.41,-6.23,-20.69,ns2_veil_cured
-37.27,-7.20,-19.06,ns2_veil_cured
-42.82,-4.44,-29.93,ns2_veil_cured
-64.98,-7.30,-11.21,ns2_veil_cured
-62.95,-5.70,-20.64,ns2_veil_cured
-62.69,-5.99,-27.81,ns2_veil_cured
-61.69,-7.29,-13.74,ns2_veil_cured
-64.14,-7.29,-14.39,ns2_veil_cured
-39.61,-4.64,-33.95,ns2_veil_cured
5.75,-0.80,-86.30,ns2_veil_cured
10.38,-1.26,-94.75,ns2_veil_cured
6.53,-2.30,-93.37,ns2_veil_cured
9.32,0.05,-99.26,ns2_veil_cured
9.70,-1.39,-104.03,ns2_veil_cured
-9.08,-1.85,-85.55,ns2_veil_cured
7.36,-3.11,-73.23,ns2_veil_cured
40.13,-2.08,-32.68,ns2_veil_cured
5.99,-1.73,-104.75,ns2_veil_cured
18.25,-2.31,-34.80,ns2_veil_cured
5.07,5.05,-76.77,ns2_veil_cured
19.55,-2.30,-43.69,ns2_veil_cured
-100.05,-2.87,-69.75,ns2_veil_cured
-92.32,-3.96,-76.73,ns2_veil_cured
40.03,-2.32,-158.38,ns2_veil_cured
-82.65,-4.15,-74.33,ns2_veil_cured
17.12,-2.30,-57.81,ns2_veil_cured
-92.59,-2.92,-79.70,ns2_veil_cured
37.07,-2.27,-147.88,ns2_veil_cured
-32.49,-5.68,-6.40,ns2_veil_cured
-48.78,-1.87,-113.51,ns2_veil_cured
-8.25,-2.30,-57.20,ns2_veil_cured
-4.53,-1.57,-89.52,ns2_veil_cured
3.18,-1.14,-92.18,ns2_veil_cured
8.41,-2.30,-98.09,ns2_veil_cured
-15.51,-2.89,-8.78,ns2_veil_cured
7.53,1.26,-94.04,ns2_veil_cured
-10.86,-3.00,-7.06,ns2_veil_cured
-26.60,-5.77,-3.68,ns2_veil_cured
-9.00,1.56,-45.66,ns2_veil_cured
-25.39,-0.87,-105.36,ns2_veil_cured
9.84,-1.59,-93.47,ns2_veil_cured
-12.19,-0.50,-12.80,ns2_veil_cured
-10.96,-2.25,-13.41,ns2_veil_cured
0.32,-0.89,-87.55,ns2_veil_cured
-59.69,-0.87,-152.45,ns2_veil_cured
-22.20,-1.31,-13.81,ns2_veil_cured
2.84,-1.38,-86.84,ns2_veil_cured
-10.14,-1.51,-8.37,ns2_veil_cured
-15.59,-2.30,-14.20,ns2_veil_cured
-18.98,-0.95,-10.65,ns2_veil_cured
-11.13,-2.30,-29.61,ns2_veil_cured
-14.75,-1.05,-86.97,ns2_veil_cured
-7.99,-1.89,-22.34,ns2_veil_cured
-11.49,1.40,-35.73,ns2_veil_cured
-8.39,-2.34,-32.34,ns2_veil_cured
0.16,-1.94,-43.77,ns2_veil_cured
