x,y,z,team
26.15,1.83,79.47,marines
23.63,1.93,93.11,marines
-29.84,-1.92,-14.11,marines
9.45,-4.05,52.81,marines
2.94,-0.50,95.58,marines
26.06,0.21,-10.92,marines
31.68,-3.44,67.01,marines
34.02,-0.59,82.50,marines
-5.23,1.83,79.89,marines
-16.48,-1.49,53.93,marines
9.07,-3.86,49.75,marines
35.65,-0.07,22.48,marines
51.33,0.60,10.55,marines
15.94,0.21,5.01,marines
-85.24,-1.59,45.65,marines
22.40,-3.44,66.91,marines
23.03,-1.24,49.35,marines
10.67,-2.83,33.63,marines
47.29,1.57,3.05,marines
50.45,0.23,19.65,marines
-3.65,1.83,80.65,marines
48.78,0.21,25.85,marines
50.10,0.00,8.64,marines
53.13,0.25,9.84,marines
51.16,0.21,24.35,marines
-46.99,-1.02,92.00,aliens
-56.25,1.48,-10.08,aliens
37.72,-1.21,83.60,aliens
-5.71,2.49,75.52,aliens
22.13,1.36,-12.08,aliens
-9.96,3.16,69.01,aliens
-11.28,-1.22,23.09,aliens
