coordinates,map,team
"-19.47 -1.51 54.12",ns2_tram,marines
"-22.49 -1.51 62.06",ns2_tram,marines
"25.22 0.21 -6.48",ns2_tram,marines
"-21.47 -1.92 -14.05",ns2_tram,marines
"-0.03 1.14 85.64",ns2_tram,marines
"-35.02 -1.12 -0.90",ns2_tram,marines
"-19.69 -1.51 60.98",ns2_tram,marines
"-45.61 -2.42 -3.88",ns2_tram,marines
"34.15 -3.18 67.35",ns2_tram,marines
"-2.45 1.83 67.17",ns2_tram,marines
"10.68 -3.97 54.52",ns2_tram,marines
"-8.18 -3.25 32.90",ns2_tram,marines
"-26.45 -3.44 33.61",ns2_tram,marines
"-27.53 -1.93 5.27",ns2_tram,marines
"24.81 1.60 -7.60",ns2_tram,marines
"-8.00 -2.84 23.51",ns2_tram,marines
"-23.78 -2.84 22.32",ns2_tram,marines
"-51.00 -0.64 21.14",ns2_tram,marines
"-66.44 0.93 93.04",ns2_tram,aliens
"-28.23 0.39 84.14",ns2_tram,aliens
"-70.64 0.42 -2.44",ns2_tram,aliens
"-67.92 0.63 91.68",ns2_tram,aliens
"43.52 -3.51 73.60",ns2_tram,aliens
"43.32 1.14 4.19",ns2_tram,aliens
"27.88 -2.74 68.57",ns2_tram,aliens
"-65.06 1.28 82.41",ns2_tram,aliens
"-64.54 0.97 78.04",ns2_tram,aliens
"-63.63 1.39 93.06",ns2_tram,aliens
"7.95 3.29 91.53",ns2_tram,aliens
"20.15 2.44 101.74",ns2_tram,aliens
"4.30 0.56 101.68",ns2_tram,aliens
"-49.69 0.53 80.02",ns2_tram,aliens
"4.65 -0.25 101.58",ns2_tram,aliens
"25.59 2.88 121.52",ns2_tram,aliens
"34.97 4.23 121.79",ns2_tram,aliens
"41.79 3.46 118.06",ns2_tram,aliens
"28.47 -2.42 50.91",ns2_tram,aliens
"-27.56 -1.92 18.78",ns2_tram,aliens
"-20.23 0.42 103.47",ns2_tram,aliens
"17.39 0.21 4.62",ns2_tram,aliens
"15.46 -2.22 34.52",ns2_tram,aliens
"27.68 -3.44 69.26",ns2_tram,aliens
"-68.48 0.84 94.84",ns2_tram,aliens
"0.45 -0.64 -8.13",ns2_tram,aliens
"5.11 0.90 93.42",ns2_tram,aliens
"1.96 2.47 106.04",ns2_tram,aliens
"10.69 0.47 111.01",ns2_tram,aliens
"25.55 3.90 88.77",ns2_tram,aliens
"33.89 3.00 104.11",ns2_tram,aliens
"8.42 1.42 89.99",ns2_tram,aliens
"28.02 2.19 81.81",ns2_tram,aliens
"44.89 -2.80 74.94",ns2_tram,aliens
"29.19 2.81 105.36",ns2_tram,aliens
"28.40 4.88 126.01",ns2_tram,aliens
"19.15 2.74 121.45",ns2_tram,aliens
"-4.39 2.92 63.71",ns2_tram,aliens
"12.16 2.97 85.76",ns2_tram,aliens
"34.92 3.67 122.16",ns2_tram,aliens
